Date,DX_Ensemble_Master,DX_Ensemble_Rank_1,DX_Current_Level
2026-05-15,97.5763,97.545,97.84300231933594
2026-05-22,97.4578,98.0176,97.84300231933594
2026-05-29,97.9228,99.4681,97.84300231933594
2026-06-05,98.4576,99.3937,97.84300231933594
2026-06-12,98.2463,99.3194,97.84300231933594
2026-06-18,98.1492,98.826,97.84300231933594
2026-06-26,98.5081,98.5367,97.84300231933594
2026-07-03,98.6258,98.5131,97.84300231933594
2026-07-10,99.1239,98.968,97.84300231933594
2026-07-17,99.3359,99.1908,97.84300231933594
2026-07-24,99.6599,98.4528,97.84300231933594
2026-07-31,99.9119,99.0483,97.84300231933594
