Date,KOSPI_Ensemble_Master,KOSPI_Ensemble_Rank_1,KOSPI_Current_Level
2026-05-15,7460.5711,7616.8363,7404.62
2026-05-21,7396.5459,7464.8204,7404.62
2026-05-29,7462.3491,7604.8657,7404.62
2026-06-05,7579.1517,7579.7603,7404.62
2026-06-12,7569.697,7554.8608,7404.62
2026-06-19,7509.5943,7450.2892,7404.62
2026-06-26,7594.5744,7488.322,7404.62
2026-07-03,7685.3861,7428.1583,7404.62
2026-07-10,7592.3651,7355.2288,7404.62
2026-07-17,7667.9659,7429.299,7404.62
2026-07-24,7782.8567,7458.5329,7404.62
2026-07-30,7854.3384,7616.7806,7404.62
