Date,NASDAQ_Ensemble_Master,NASDAQ_Ensemble_Rank_1,NASDAQ_Current_Level
2026-05-15,26688.0473,26504.3865,26247.08
2026-05-22,26409.2068,26990.1216,26247.08
2026-05-29,26561.1718,26999.5649,26247.08
2026-06-05,26640.3485,26820.3221,26247.08
2026-06-12,26520.4182,26921.5312,26247.08
2026-06-18,26578.3718,26548.38,26247.08
2026-06-26,26498.6325,26306.9389,26247.08
2026-07-03,27254.9331,26127.9992,26247.08
2026-07-10,27672.0685,25807.4166,26247.08
2026-07-17,27322.5626,24728.2582,26247.08
2026-07-24,26964.4747,23214.8948,26247.08
2026-07-31,26641.0779,22967.8103,26247.08
